number of clients;mean number of rejected;min number of rejected;max number of rejected;mean execution time;min execution time;max execution time;mean cpu usage ldf;min cpu usage ldf;max cpu usage ldf;mean cpu usage nginx;min cpu usage nginx;max cpu usage nginx;mean bandwidth ldf;min bandwidth ldf;max bandwidth ldf;mean bandwidth total;min bandwidth total;max bandwidth total;mean number of requests;min number of requests;max number of requests
5;0;0;0;59.45201034545898;47.7903724193573;68.26457819938659;16.195833333333333;0.0;30.16875;5.633333333333333;4.23125;6.74375;40.61063333333334;0.0;69.6069;95.29693333333334;61.846000000000004;124.126;124799;81401;162408
10;0;0;0;23.015327660242715;12.459077095985412;36.34097945690155;2.15625;0.0;6.46875;8.797916666666666;8.73125;8.9125;2.8971699999999996;0.0;8.69151;129.6154;62.6562;212.346;169929;82318;278159
15;0;0;0;25.715443976720177;18.674727360407513;36.92015810012818;0.0;0.0;0.0;12.895833333333334;12.025;14.45625;0.0;0.0;0.0;207.82666666666668;146.793;316.103;272717;192890;415052
20;0;0;0;23.40615392128626;19.905175745487213;25.913984084129332;0.0;0.0;0.0;15.508333333333335;14.1125;17.16875;0.0;0.0;0.0;245.46;230.059;259.216;321723;301886;339289
25;0;0;0;39.43484347979228;33.126880741119386;47.942671394348146;0.0;0.0;0.0;18.104166666666668;17.1;18.8375;0.0;0.0;0.0;493.09066666666666;429.496;563.262;646219;562689;738197
30;0;0;0;26.117210170957776;23.80324901739756;28.2133549451828;0.0;0.0;0.0;20.7625;20.11875;21.15;0.0;0.0;0.0;383.8313333333333;355.977;436.421;503838;467137;573396
35;0;0;0;33.30287296658471;11.51395365851266;55.38471247128078;0.0;0.0;0.0;21.491666666666664;20.68125;22.39375;0.0;0.0;0.0;455.39333333333326;201.812;709.901;596744;264939;929658
40;0;0;0;32.21163988510768;22.961673974990845;47.49399266839028;0.0;0.0;0.0;23.897916666666664;23.3;24.25;0.0;0.0;0.0;502.6713333333334;407.442;626.074;659135;534427;820596
45;0;0;0;47.431815458227085;27.96952167087131;67.00703517066108;27.368750000000002;3.825;39.175;24.1125;23.875;24.29375;94.50678333333333;1.14435;161.898;679.841;601.607;721.866;891368;788472;947088
50;0;0;0;35.89532072385152;28.011207337379457;45.551094269752504;2.3604166666666666;0.0;7.08125;24.64375;24.54375;24.79375;2.8971699999999996;0.0;8.69151;730.2266666666666;668.464;822.927;958061;878180;1078758
55;0;0;0;41.74745723117481;38.22326096621427;44.09558005332947;0.0;0.0;0.0;24.643749999999997;24.4625;24.925;0.0;0.0;0.0;900.7200000000001;754.568;985.801;1180060;988712;1290801
60;0;0;0;36.79326254791684;31.644813179969788;44.929462083180745;0.0;0.0;0.0;24.81458333333333;24.725;24.90625;0.0;0.0;0.0;851.29;789.505;962.854;1115294;1034542;1260957
65;0;0;0;28.66453293775901;21.212707446171688;33.84399185180664;0.0;0.0;0.0;24.83125;24.7375;24.89375;0.0;0.0;0.0;738.8976666666667;553.587;849.623;969365;727245;1114212
70;0;0;0;45.33882826623462;29.252378007343836;54.77459238256727;0.0;0.0;0.0;24.912499999999998;24.825;24.9625;0.0;0.0;0.0;1025.29;633.28;1292.82;1344369;831750;1694985
75;0;0;0;54.381762482325236;31.573560911814372;84.54973304748535;27.014583333333334;3.35625;41.84375;24.993750000000002;24.875;25.0625;106.56338999999998;2.51017;169.811;858.9983333333333;801.227;896.867;1126606;1050886;1175210
80;0;0;0;37.93714673419793;31.66504216492176;46.62521680891514;0.0;0.0;0.0;24.989583333333332;24.975;25.0;0.0;0.0;0.0;1041.1843333333334;906.093;1108.82;1365145;1189186;1453358
85;0;0;0;45.70423194941352;43.17904377264135;47.41954820576836;2.8979166666666667;0.0;8.69375;25.039583333333336;25.01875;25.06875;3.5863;0.0;10.7589;1302.91;1239.33;1395.8;1707443;1623589;1829413
90;0;0;0;43.27141582259426;39.23743165069156;45.38022697501712;0.0;0.0;0.0;25.03125;25.0125;25.04375;0.0;0.0;0.0;1294.4033333333334;1252.17;1367.3;1696901;1641316;1792905
95;0;0;0;40.99838469321268;38.17251459673831;42.58037403006303;0.0;0.0;0.0;25.047916666666666;25.01875;25.0875;0.0;0.0;0.0;1165.0833333333333;1137.24;1216.69;1527343;1491855;1594200
100;0;0;0;45.52658331076304;47.607329173088075;123.84608046054841;16.177083333333332;1.63125;42.275;25.0;24.95625;25.05625;131.11534;1.14359;385.005;1251.653;980.099;1478.77;1641103;1285030;1937717
105;0;0;0;44.69631551863656;44.47131897381374;45.05586749939692;2.19375;0.0;6.58125;25.110416666666666;25.0625;25.18125;2.8971699999999996;0.0;8.69151;1393.9233333333332;1372.76;1419.94;1827791;1800683;1861243
110;0;0;0;47.363232714479615;41.91899054700678;53.667863930355416;0.0;0.0;0.0;25.072916666666668;25.01875;25.11875;0.0;0.0;0.0;1531.5866666666668;1387.11;1734.95;2007327;1817787;2274524
115;0;0;0;52.042313185982074;42.009817896718566;61.698384034115335;0.0;0.0;0.0;25.083333333333332;25.06875;25.09375;0.0;0.0;0.0;1740.9966666666667;1394.01;2047.75;2282795;1828604;2685621
120;0;0;0;51.74134019480811;49.81571215192477;54.60020459691683;1.7833333333333332;0.0;5.06875;25.12291666666667;25.10625;25.14375;0.9658146099999999;0.0;2.89497;1704.11;1573.05;1835.76;2234480;2063919;2407713
125;0;0;0;73.95972226842245;51.55272874450684;204.55889517784118;17.166666666666668;0.0;42.875;24.89166666666667;24.525;25.1;244.1259666666667;0.0;721.513;1693.63;1691.95;1694.75;2220996;2219949;2222500
130;0;0;0;51.175174276034035;47.705413055419925;56.55660430834843;1.8854166666666667;0.0;5.65625;25.097916666666666;25.05625;25.125;2.8971699999999996;0.0;8.69151;1720.64;1550.57;1904.09;2256666;2034373;2495538
135;0;0;0;47.53901957582544;40.094677165702535;52.92044598084909;0.0;0.0;0.0;25.087500000000002;25.06875;25.1125;0.0;0.0;0.0;1682.1266666666663;1432.83;1931.81;2206541;1879849;2533641
140;0;0;0;53.03795889843078;48.77260194676263;57.05853057759149;0.05625;0.0;0.16875;25.089583333333337;25.0625;25.1375;0.00082461;0.0;0.00247383;1915.3566666666666;1696.44;2039.62;2512079;2225675;2675193
145;0;0;0;57.98473995965102;53.469100661113345;65.40710915532605;5.893750000000001;0.39375;9.70625;25.139583333333334;25.1;25.20625;4.9361538;0.0757914;11.6205;2119.79;2067.47;2167.65;2778185;2709676;2840944
150;0;0;0;85.42158784495462;62.41094595750173;217.21444340229036;17.491666666666664;0.0;42.4875;25.020833333333332;24.875;25.1125;272.6913333333333;0.0;806.106;2082.8766666666666;1760.04;2391.4;2732059;2309791;3136225
155;0;0;0;59.3213063855325;54.87938555440595;65.22697898803219;0.0;0.0;0.0;25.100000000000005;25.06875;25.14375;0.0;0.0;0.0;2221.023333333333;1936.16;2435.55;2910234;2538973;3188875
160;0;0;0;68.23983977288007;66.97516815662384;70.4529968097806;0.31875000000000003;0.0;0.95625;25.116666666666664;25.1125;25.11875;0.151251;0.0;0.453753;2531.7433333333333;2409.16;2682.55;3318568;3158381;3516067
165;0;0;0;55.482673511601455;53.830109524004385;56.4512531858502;8.327083333333333;0.61875;19.56875;25.116666666666664;25.08125;25.15;4.906860466666667;0.0757914;12.3003;2008.72;1795.6;2227.62;2634209;2356536;2921318
170;0;0;0;100.29365799427033;61.01097366108614;175.2408359008677;18.76875;0.0;42.94375;25.064583333333335;24.94375;25.1375;234.4854;0.0;689.99;2092.353333333333;1549.36;2538.82;2743682;2033090;3327265
175;0;0;0;66.03399208886283;57.189980821609495;80.44283821514675;0.0;0.0;0.0;25.1125;25.08125;25.15;0.0;0.0;0.0;2517.153333333333;2220.32;2994.44;3300113;2912631;3924922
180;0;0;0;65.23062487045924;60.761780971950955;67.65887720717325;0.54375;0.0;1.4625;25.127083333333335;25.1125;25.1375;0.3539579433333333;0.0;1.0594;2596.6266666666666;2324.42;2800.13;3403328;3046860;3668983
185;0;0;0;59.878344527665554;58.711053660109236;61.335771418906546;7.364583333333333;0.61875;15.94375;25.104166666666668;25.06875;25.14375;4.766172533333333;0.0765476;10.833;2328.1933333333336;2209.59;2505.8;3051967;2896229;3284769
190;0;0;0;82.9182634905765;66.46149042907514;282.8948142967726;19.57916666666667;0.0;42.7625;25.04583333333333;24.93125;25.11875;391.0714333333333;0.0;1151.8;2850.3799999999997;2490.77;3479.98;3737817;3268106;4563286
195;0;0;0;67.55730971148891;62.65408839323582;74.99548114385361;0.0;0.0;0.0;25.09583333333333;25.0875;25.1125;0.0;0.0;0.0;2571.9;2376.96;2932.22;3371849;3116147;3842790
200;0;0;0;67.7765202418963;60.39117503166199;71.97416363477707;3.4020833333333336;0.225;7.0;25.129166666666666;25.09375;25.1625;1.5851012766666666;0.00247383;3.25763;2791.09;2273.98;3126.19;3659104;2982177;4096983
