number of clients;mean number of rejected;min number of rejected;max number of rejected;mean execution time;min execution time;max execution time;mean cpu usage ldf;min cpu usage ldf;max cpu usage ldf;mean cpu usage nginx;min cpu usage nginx;max cpu usage nginx;mean bandwidth ldf;min bandwidth ldf;max bandwidth ldf;mean bandwidth total;min bandwidth total;max bandwidth total;mean number of requests;min number of requests;max number of requests
5;0;0;0;44.74538254737855;21.26065864562988;67.96385722160339;6.49;0.0;16.68125;5.5825000000000005;4.15625;6.81875;20.17884;0.0;79.3942;102.73667999999998;63.1924;144.175;134843;83280;188836
10;0;0;0;18.738586559295655;13.778765296936035;24.99770345687866;1.43375;0.0;7.16875;9.05625;8.21875;10.54375;1.7383019999999998;0.0;8.69151;98.224;72.6811;122.322;129251;95487;160702
15;0;0;0;39.37544028600057;23.62271067301432;57.93740666707357;0.0;0.0;0.0;13.451249999999998;12.65;14.09375;0.0;0.0;0.0;315.7666;199.611;447.861;414920;262844;588555
20;0;0;0;25.31780494213104;10.174512600898742;32.6715013384819;0.0;0.0;0.0;16.185;15.5125;16.75625;0.0;0.0;0.0;265.1218;105.65;372.12;348551;139052;488606
25;0;0;0;35.9253293094635;22.34749984741211;57.36992874145508;15.90625;0.0;39.13125;19.71;18.8125;21.1;10.73298141;0.0;43.3539;401.8268;275.042;575.88;528099;361983;755673
30;0;0;0;38.86972714424133;24.760764527320863;52.24885428746541;12.59;0.0;40.49375;22.2875;21.5125;22.91875;28.858925999999997;0.0;92.8421;559.4698;388.43;781.442;735707;510527;1026485
35;0;0;0;38.422131753649026;32.22444287708827;46.40462612424578;1.3875;0.0;6.9375;22.66625;21.66875;23.875;1.7383019999999998;0.0;8.69151;596.7508;480.375;718.366;783983;630406;943729
40;0;0;0;40.58339763402939;22.823174750804903;58.58345581889152;0.0;0.0;0.0;24.03125;23.3;24.5625;0.0;0.0;0.0;668.7457999999999;397.939;838.671;878239;523737;1101723
45;0;0;0;34.90081580162048;26.228947257995607;55.31743057568868;16.4375;0.0;39.11875;24.23;23.8875;24.66875;9.966325789999999;0.0;39.5624;629.5806;492.466;1021.2;827421;647772;1339482
50;0;0;0;42.0970886516571;27.859129304885865;60.07309807777405;9.556249999999999;0.0;41.20625;24.61875;24.3625;24.825;33.792008;0.0;164.127;813.6193999999999;586.686;1244.67;1068452;771148;1634135
55;0;0;0;43.552302770614624;34.443059114976364;54.43296246962114;1.98;0.0;9.9;24.80125;24.75625;24.8375;2.1481000000000003;0.0;10.7405;900.2724000000001;741.313;1057.64;1182657;973707;1390267
60;0;0;0;47.547865623633065;36.6895039041837;63.77598782777786;15.825;0.0;38.96875;24.78375;24.64375;24.8875;17.08542179;0.0;73.8596;915.7708;695.367;1066.4;1202506;913312;1399891
65;0;0;0;49.858099277202896;35.91566107456501;65.71676768889795;10.26875;0.0;42.35;24.811249999999998;24.59375;25.0;50.235276;0.0;245.869;1073.4028;917.705;1290.62;1409636;1206301;1692514
70;0;0;0;51.70870193822043;41.10000712871552;59.84061861378806;1.5162499999999999;0.0;7.58125;24.999999999999996;24.93125;25.1125;1.7383019999999998;0.0;8.69151;1235.1866000000002;990.503;1500.18;1622319;1302062;1970879
75;0;0;0;52.9872563088735;49.069774055480956;65.96377497355144;21.227500000000003;0.39375;39.1125;25.02375;24.94375;25.11875;27.29694488;0.0197754;96.5303;1253.848;1059.38;1333.33;1648229;1394328;1751799
80;0;0;0;48.324805116653444;33.40805372595787;82.956534704566;9.7325;0.0;44.09375;24.98125;24.75625;25.075;55.204024000000004;0.0;273.805;1119.9316000000001;929.049;1373.27;1472206;1222178;1804413
85;0;0;0;50.48395112542545;44.67372102176442;62.309281851263606;5.07125;0.0;13.4125;25.075000000000003;25.0375;25.11875;2.1999688199999996;0.0;10.9835;1408.852;1206.09;1681.46;1850736;1582902;2207909
90;0;0;0;61.78636767016517;52.1568575196796;75.77900873290167;17.3325;0.0;40.9375;25.084999999999997;25.05625;25.14375;37.0382738;0.0;150.625;1615.8439999999998;1481.81;1774.35;2122672;1947996;2329992
95;0;0;0;63.42621159051593;48.46577188592208;83.53075950271204;9.440000000000001;0.0;42.0;25.0425;24.93125;25.14375;59.561924;0.0;295.484;1724.432;1489.21;2105.19;2264598;1956783;2763337
100;0;0;0;53.905965853214255;37.94313593149185;61.41284324407577;2.895;0.0;7.65625;25.08;25.04375;25.11875;1.7406785599999999;0.0;8.69151;1587.058;1068.2;1820.95;2085987;1405272;2392655
105;0;0;0;71.28993675458999;45.031788390023365;122.61949956984748;25.69625;0.61875;43.5875;25.021250000000002;24.93125;25.08125;148.1215378;0.216259;552.831;1667.248;1476.86;2112.91;2190694;1941421;2774229
110;0;0;0;52.36585066621954;44.98644441257824;65.97377132285725;0.0;0.0;0.0;25.07;24.99375;25.1375;0.0;0.0;0.0;1654.994;1406.95;2215.72;2174610;1848476;2911320
115;0;0;0;62.641052646636965;51.14073678928873;85.82158578997073;10.78875;0.0;40.575;25.0975;25.05;25.1375;10.7988198;0.0;40.6844;1871.748;1639.15;2401.56;2459608;2154028;3156508
120;0;0;0;67.83456504503887;52.33836465279261;92.98123721083006;17.42;0.0;42.23125;25.06375;25.0125;25.1125;118.477036;0.0;453.322;1966.944;1756.03;2405.13;2584175;2309247;3158196
125;0;0;0;55.06955037002564;46.04095051574707;64.60816732406616;2.5962500000000004;0.0;12.925;25.080000000000002;25.0625;25.1;2.205336342;0.0;11.0191;1844.3220000000001;1529.03;2231.48;2422664;2008870;2928668
130;0;0;0;81.6580116191277;56.665691135479854;103.14000116128187;23.50625;0.50625;42.39375;25.085;25.0;25.13125;137.2771204;0.210202;473.467;2087.5460000000003;1930.52;2467.15;2743104;2538132;3239052
135;0;0;0;66.51771756207502;59.28650226239805;75.14322623146904;0.63125;0.0;3.15625;25.128749999999997;25.1;25.15;0.394004;0.0;1.97002;2217.174;2046.95;2388.98;2913009;2690592;3136872
140;0;0;0;73.77018731287548;53.659880803312575;102.05107945884977;13.495;0.225;41.20625;25.105;25.0625;25.2;10.88627584;0.0243082;40.2044;2229.838;1929.85;2878.59;2928809;2535692;3777210
145;0;0;0;74.96751221097749;60.05788397953428;103.38627931989473;17.46125;0.0;42.00625;25.08375;25.0125;25.125;173.455556;0.0;542.727;2303.0319999999997;2150.54;2421.41;3026345;2825292;3185426
