number of clients;mean number of rejected;min number of rejected;max number of rejected;mean execution time;min execution time;max execution time;mean cpu usage ldf;min cpu usage ldf;max cpu usage ldf;mean cpu usage nginx;min cpu usage nginx;max cpu usage nginx;mean bandwidth ldf;min bandwidth ldf;max bandwidth ldf;mean bandwidth total;min bandwidth total;max bandwidth total;mean number of requests;min number of requests;max number of requests
5;0;0;0;26.983020067214966;26.983020067214966;26.983020067214966;31.49375;31.49375;31.49375;6.16875;6.16875;6.16875;44.41399999999999;44.41399999999999;44.41399999999999;57.005000000000024;57.005000000000024;57.005000000000024;74841;74841;74841
10;0;0;0;128.96513931751252;128.96513931751252;128.96513931751252;0.0;0.0;0.0;6.0375;6.0375;6.0375;0.0;0.0;0.0;50.8753;50.8753;50.8753;65541;65541;65541
15;0;0;0;239.27395712534587;239.27395712534587;239.27395712534587;4.725;4.725;4.725;7.325;7.325;7.325;0.226214;0.226214;0.226214;34.1366;34.1366;34.1366;42219;42219;42219
20;0;0;0;281.0976345419884;281.0976345419884;281.0976345419884;22.5;22.5;22.5;9.00625;9.00625;9.00625;105.774;105.774;105.774;215.353;215.353;215.353;278977;278977;278977
25;0;0;0;419.11520420074464;419.11520420074464;419.11520420074464;41.76875;41.76875;41.76875;16.03125;16.03125;16.03125;73.2778;73.2778;73.2778;288.985;288.985;288.985;377652;377652;377652
30;0;0;0;206.86239555676778;206.86239555676778;206.86239555676778;7.70625;7.70625;7.70625;15.78125;15.78125;15.78125;8.73047;8.73047;8.73047;427.103;427.103;427.103;557997;557997;557997
35;0;0;0;170.5881657055446;170.5881657055446;170.5881657055446;22.80625;22.80625;22.80625;15.7625;15.7625;15.7625;113.942;113.942;113.942;293.692;293.692;293.692;381693;381693;381693
40;0;0;0;434.1722904682159;434.1722904682159;434.1722904682159;42.1625;42.1625;42.1625;16.5625;16.5625;16.5625;75.3768;75.3768;75.3768;396.766;396.766;396.766;515766;515766;515766
45;0;0;0;164.0667136669159;164.0667136669159;164.0667136669159;4.6375;4.6375;4.6375;21.38125;21.38125;21.38125;1.42606;1.42606;1.42606;547.469;547.469;547.469;714857;714857;714857
50;0;0;0;193.02241131782532;193.02241131782532;193.02241131782532;18.31875;18.31875;18.31875;20.39375;20.39375;20.39375;36.4208;36.4208;36.4208;273.667;273.667;273.667;355846;355846;355846
55;0;0;0;354.78415126800536;354.78415126800536;354.78415126800536;41.58125;41.58125;41.58125;20.9;20.9;20.9;172.278;172.278;172.278;610.214;610.214;610.214;794637;794637;794637
60;0;0;0;225.93272870381674;225.93272870381674;225.93272870381674;7.65;7.65;7.65;19.96875;19.96875;19.96875;10.0859;10.0859;10.0859;516.095;516.095;516.095;671245;671245;671245
65;0;0;0;176.9479858618516;176.9479858618516;176.9479858618516;15.7375;15.7375;15.7375;21.0125;21.0125;21.0125;43.0489;43.0489;43.0489;494.002;494.002;494.002;643372;643372;643372
70;0;0;0;272.2419670854296;272.2419670854296;272.2419670854296;42.19375;42.19375;42.19375;21.2;21.2;21.2;182.69;182.69;182.69;660.537;660.537;660.537;858487;858487;858487
75;0;0;0;189.49110530853272;189.49110530853272;189.49110530853272;7.89375;7.89375;7.89375;18.775;18.775;18.775;10.1262;10.1262;10.1262;434.953;434.953;434.953;561862;561862;561862
80;0;0;0;216.67758508324624;216.67758508324624;216.67758508324624;42.19375;42.19375;42.19375;22.86875;22.86875;22.86875;60.2887;60.2887;60.2887;658.12;658.12;658.12;857497;857497;857497
85;0;0;0;258.4552758833941;258.4552758833941;258.4552758833941;42.175;42.175;42.175;22.76875;22.76875;22.76875;135.712;135.712;135.712;684.971;684.971;684.971;888762;888762;888762
90;0;0;0;371.1749183707767;371.1749183707767;371.1749183707767;6.6375;6.6375;6.6375;21.5125;21.5125;21.5125;10.3776;10.3776;10.3776;925.483;925.483;925.483;1204582;1204582;1204582
95;0;0;0;377.25190169685766;377.25190169685766;377.25190169685766;9.8625;9.8625;9.8625;20.86875;20.86875;20.86875;36.9378;36.9378;36.9378;1072.25;1072.25;1072.25;1393830;1393830;1393830
100;0;0;0;327.7036245417595;327.7036245417595;327.7036245417595;41.1125;41.1125;41.1125;19.99375;19.99375;19.99375;55.3552;55.3552;55.3552;448.853;448.853;448.853;575534;575534;575534
105;0;0;0;261.8770391986484;261.8770391986484;261.8770391986484;39.55;39.55;39.55;21.13125;21.13125;21.13125;88.3417;88.3417;88.3417;936.258;936.258;936.258;1218316;1218316;1218316
110;0;0;0;340.19963225234636;340.19963225234636;340.19963225234636;42.125;42.125;42.125;22.4125;22.4125;22.4125;155.829;155.829;155.829;658.223;658.223;658.223;850132;850132;850132
115;0;0;0;256.61016400378685;256.61016400378685;256.61016400378685;41.525;41.525;41.525;23.16875;23.16875;23.16875;70.5986;70.5986;70.5986;1241.94;1241.94;1241.94;1620454;1620454;1620454
120;0;0;0;325.26541475256283;325.26541475256283;325.26541475256283;2.91875;2.91875;2.91875;21.36875;21.36875;21.36875;4.11969;4.11969;4.11969;929.503;929.503;929.503;1204807;1204807;1204807
125;0;0;0;274.0506276550293;274.0506276550293;274.0506276550293;41.0375;41.0375;41.0375;21.8875;21.8875;21.8875;146.171;146.171;146.171;912.038;912.038;912.038;1183882;1183882;1183882
130;0;0;0;280.62633191072024;280.62633191072024;280.62633191072024;2.975;2.975;2.975;21.79375;21.79375;21.79375;4.5289;4.5289;4.5289;1139.43;1139.43;1139.43;1480161;1480161;1480161
135;0;0;0;222.60810432257475;222.60810432257475;222.60810432257475;10.475;10.475;10.475;20.425;20.425;20.425;7.72008;7.72008;7.72008;1059.74;1059.74;1059.74;1376297;1376297;1376297
140;0;0;0;396.0820632066046;396.0820632066046;396.0820632066046;39.16875;39.16875;39.16875;22.4;22.4;22.4;148.529;148.529;148.529;1480.28;1480.28;1480.28;1924617;1924617;1924617
145;0;0;0;228.11471106759433;228.11471106759433;228.11471106759433;14.7;14.7;14.7;21.28125;21.28125;21.28125;7.83534;7.83534;7.83534;1560.18;1560.18;1560.18;2032876;2032876;2032876
150;0;0;0;277.16728892167407;277.16728892167407;277.16728892167407;20.41875;20.41875;20.41875;23.06875;23.06875;23.06875;123.638;123.638;123.638;1414.07;1414.07;1414.07;1841382;1841382;1841382
155;0;0;0;420.3252847163908;420.3252847163908;420.3252847163908;39.18125;39.18125;39.18125;20.55;20.55;20.55;23.6114;23.6114;23.6114;1597.98;1597.98;1597.98;2076015;2076015;2076015
160;0;0;0;328.0679874241352;328.0679874241352;328.0679874241352;41.075;41.075;41.075;23.75625;23.75625;23.75625;152.419;152.419;152.419;1352.78;1352.78;1352.78;1755492;1755492;1755492
165;0;0;0;333.4656013691064;333.4656013691064;333.4656013691064;40.0625;40.0625;40.0625;22.20625;22.20625;22.20625;27.4675;27.4675;27.4675;1825.45;1825.45;1825.45;2378607;2378607;2378607
170;0;0;0;290.3263015172061;290.3263015172061;290.3263015172061;42.20625;42.20625;42.20625;23.6125;23.6125;23.6125;148.078;148.078;148.078;1593.7;1593.7;1593.7;2071312;2071312;2071312
175;0;0;0;372.3533565248762;372.3533565248762;372.3533565248762;39.69375;39.69375;39.69375;23.29375;23.29375;23.29375;26.9287;26.9287;26.9287;1715.96;1715.96;1715.96;2236139;2236139;2236139
180;0;0;0;249.516096982691;249.516096982691;249.516096982691;39.86875;39.86875;39.86875;22.5875;22.5875;22.5875;130.926;130.926;130.926;1514.04;1514.04;1514.04;1970695;1970695;1970695
185;0;0;0;352.283884951875;352.283884951875;352.283884951875;40.65625;40.65625;40.65625;19.96875;19.96875;19.96875;28.5818;28.5818;28.5818;1805.34;1805.34;1805.34;2348219;2348219;2348219
190;0;0;0;345.6838767139535;345.6838767139535;345.6838767139535;43.0875;43.0875;43.0875;22.34375;22.34375;22.34375;155.655;155.655;155.655;1808.05;1808.05;1808.05;2350167;2350167;2350167
195;0;0;0;381.6793001712897;381.6793001712897;381.6793001712897;39.99375;39.99375;39.99375;20.925;20.925;20.925;24.3777;24.3777;24.3777;1742.41;1742.41;1742.41;2265950;2265950;2265950
200;0;0;0;294.6237921047211;294.6237921047211;294.6237921047211;39.49375;39.49375;39.49375;23.625;23.625;23.625;135.285;135.285;135.285;1606.81;1606.81;1606.81;2088586;2088586;2088586
